标题,封面链接,详情页链接,作者,简介,字数,价格
西线无战事,https://pic.arkread.com/cover/ebook/f/346228130.1653684058.jpg!cover_default.jpg,https://read.douban.com/ebook/346228130/,"[德] 雷马克, 译者: 廖美琳",第一次世界大战开始后不久，保罗和同学们怀着英雄主义的理想，志愿报名参军。经过短暂的训练后，他们被送往前线，战场的残酷和生活环境的恶劣完全超出了他们的想象：到处是老鼠和虱子的战壕、可怕的传染病、食品和药物的匮乏、简陋的医疗设备……在战场上经历过血肉横飞、残肢断臂、炸弹毒气的摧残之后，这群年轻人不得不抛弃从前的信仰，变成一个个行尸走肉。保罗绝望地看着战友一个接一个地倒下，未来一片迷茫。他阵亡的那天，整个前线寂静无声，战报上的记录只有一句：西线无战事。  雷马克以一种电报式的极简文风，记录了战争的恐怖；以一种轻描淡写的口吻，诉说了一代人经受过的苦难。正如他在小说开头写道的那样：“它只是试图简单地记叙一代人，尽管他们躲过了炮弹，但还是被战争摧毁了。”    雷马克（Erich Maria Remarque，1898—1970），德裔美籍小说家，出生于德国一个工人家庭，十八岁时参加了第一次世界大战，并在战争中负伤。战后从事过小学教师、商人、记者、编辑等各种工作，1929年出版小说《西线无战事》，引起强烈反响。由于雷马克的反战立场，纳粹上台后，他的作品遭到查禁。1938年，雷马克被剥夺了德国国籍，1947年加入美国国籍，1970年在瑞士逝世。雷马克一生创作了十多部小说，其他作品还包括《凯旋门》《黑色方尖碑》《里斯本之夜》《应许之地》等。,127106字,9.9元
电波骑士,https://pic.arkread.com/cover/ebook/f/162340538.1653695892.jpg!cover_default.jpg,https://read.douban.com/ebook/162340538/,"[英] 约翰·布鲁纳, 译者: 高麒鹏",约翰·布鲁纳笔下的21世纪，网络监控无处不在，掌握着人们的衣食住行。危险分子尼克·哈福林格在多个身份之间腾挪闪躲，却终究没逃过落网的命运。  面对大脑被重置的严厉惩罚，他创造了一种能改天换地的武器。他的发明不仅撼动了书中的财团巨头，更给我们的现实世界永远蒙上了一层阴影。  约翰·布鲁纳，英国科幻作家，其创作深受科幻“新浪潮”运动的影响，同时有意识地借鉴主流文学，尤其是多斯·帕索斯的“群像小说”。1968年，布鲁纳完成了他的代表作《立于桑给巴尔》：多人物、多角度、兼顾宏观与微观，全景式地展示了一个阴郁的近未来世界——人口暴涨、资源枯竭、传统家庭与社会关系分崩离析。人文关怀之外，布鲁纳对科技发展的趋势也有独到见地。创作于1975年的《电波骑士》预见了电脑病毒的出现，我们熟知的“蠕虫病毒”一词即出自此书。  1995年，约翰·布鲁纳参加了在格拉斯哥举办的世界科幻大会。与会期间，因心脏病发作去世。,178809字,19.99元
永恒的边缘（共3册）,https://pic.arkread.com/cover/ebook/f/34326867.1653700404.jpg!cover_default.jpg,https://read.douban.com/ebook/34326867/,"[英] 肯·福莱特, 译者: 陈杰",肯福莱特世纪三部曲第3部！全球读者平均3个通宵读完的超级小说巨著！  “世纪三部曲”终于迎来了一个完美结局。  《永恒的边缘》是《巨人的陨落》的大结局！火遍全球的20世纪人类史诗“世纪三部曲”的第三部。我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。  真正残酷和激烈的世界大战，是思想的大战。来自美国、德国、苏联、英国和威尔士的五大家族，又一次迎来了新的考验。东西德分裂、柏林墙、苏联秘密警察、刺杀肯尼迪、民权运动、古巴导弹危机、入侵黎巴嫩、弹劾尼克松……此外，第三代生活中还有摇滚、嬉皮士、跨种族婚恋、性解放，以及对过去的误会与和解。  说到底，世上只有一种英雄主义，就是在认清生活真相之后，依然热爱生活。    肯·福莱特（Ken Follett，1949－）  现象级畅销小说大师，爱伦坡终身大师奖得主。  20部小说被译成33国语言，累计总销量超1.5亿册。  在欧美出版界，肯·福莱特这个名字就是畅销的保证。  1978年，出版了处女作《风暴岛》，并于次年获得爱伦坡奖，声名鹊起，专职写作。2010年，荣登全球作家富豪榜上第5名。2013年，获得爱伦坡终身大师奖。  他的小说出版前，都会请历史学家审读书稿，绝不容许出现任何史实错误。  他说：“很多作家只写能取悦他们自己的东西，并模模糊糊地希望这也能取悦别人。但我每写一页都在清醒地思考：读者会怎么想？读者觉得这真的会发生吗？读者关心这些吗？读者想要知道接下来会发生什么吗？我敬佩那些用文字和新奇结构进行文学实验的作家，但我从不这么玩。”  作者官方网站：www.ken-follett.com,710121字,17.99元
白痴,https://pic.arkread.com/cover/ebook/f/5497248.1681718331.jpg!cover_default.jpg,https://read.douban.com/ebook/5497248/,"[俄] 陀思妥耶夫斯基, 译者: 荣如德",《白痴》系19世纪俄国大文豪陀思妥耶夫斯基的重要作品之一。  小说描写19世纪60年代出身贵族的绝色女子娜斯塔霞常年受地主托茨基蹂躏，后托茨基愿出一大笔钱要把她嫁给卑鄙无耻的加尼亚。就在女主人公的生日晚会上，被人们视为白痴的年轻的公爵梅诗金突然出现，愿无条件娶娜斯塔霞为妻，这使她深受感动。在与公爵即将举行婚礼的那天，娜斯塔霞尽管深爱着公爵，但还是跟花花公子罗果仁跑了，最后遭罗果仁杀害。小说对农奴制度改革后俄国上层社会作了广泛的描绘，涉及复杂的心理和道德问题。善良、宽容的梅诗金公爵无力对周围的人施加影响，也不能为他们造福，这个堂吉诃德式的人物的徒劳努力，表明作者企图以信仰和爱来拯救世界的幻想的破灭。  陀思妥耶夫斯基（Ф.М.Достоевкий，1821～1881），俄国19世纪文坛上享有世界声誉的一位小说家，他的创作具有极其复杂、矛盾的性质。  陀思妥耶夫斯基生于医生家庭，自幼喜爱文学。遵父愿入大学学工程，但毕业后不久即弃工从文。在法国资产阶级革命思潮影响下，他醉心于空想社会主义，参加了彼得堡进步知识分子组织的彼得拉舍夫斯基小组的革命活动，与涅克拉索夫、别林斯基过往甚密。  1846年发表处女作《穷人》，继承并发展了普希金《驿站长》和果戈里《外套》写“小人物”的传统，对他们在物质、精神上备受欺凌、含垢忍辱的悲惨遭遇表示深切同情。唤醒他们抗议这个不合理的社会制度。  《双重人格》（1846）、《女房东》（1847）、《白夜》（1848）和《脆弱的心》（1848）等几个中篇小说使陀思妥耶夫斯基与别林斯基分歧日益加剧，乃至关系破裂。后者认为上述小说流露出神秘色彩、病态心理以及为疯狂而写疯狂的倾向，“幻想情调”使小说脱离了当时的进步文学。  1849～1859年陀思妥耶夫斯基因参加革命活动被沙皇政府逮捕并流放西伯利亚。十年苦役、长期脱离进步的社会力量，使他思想中沮丧和悲观成分加强，从早年的空想社会主义滑到“性恶论”，形成了一套以唯心主义和宗教反对唯物主义和无神论，以温顺妥协反对向专制制度进行革命斗争的矛盾世界观。  他流放回来后创作重点逐渐转向心理悲剧。长篇小说《被伤害与被侮辱的人们》（1861）继承了“小人物”的主题。《穷人》里偶尔还能发出抗议的善良的人，已成了听任命运摆布的驯良的人；人道主义为宗教的感伤主义所代替。《死屋手记》（1861～1862）记载了作者对苦役生活的切身感受，小说描写了苦役犯的优秀道德品质，控诉了苦役制对犯人肉体的、精神的惨无人道的摧残，无情揭露了沙皇俄国的黑暗统治。  《罪与罚》（1866）是一部使作者获得世界声誉的重要作品。  《白痴》（1868）发展了“被侮辱与被损害的”主题，女主人公娜斯塔西亚强烈的叛逆性和作为正面人物的梅什金公爵的善良与纯洁，使小说透出光明的色调。但一些用以攻击革命者的“虚无主义者”形象，削弱了小说的揭露力量。  在《鬼》（1871～1872）中已没有被伤害与被侮辱者的形象，而只有对革命者的攻击了。  最后一部作品《卡拉马佐夫兄弟》（1880）是作者哲学思考的总结。作者以巨大的艺术力量描写了无耻、卑鄙的卡拉马佐夫家族的堕落崩溃。对颠沛流离、生活在水深火热之中的人们表示深厚同情，但也流露出消极的一面，例如认为只有皈依宗教才能保全道德的价值，只有宽恕和仁慈才能拯救人类社会等说教。  陀思妥耶夫斯基擅长心理剖析，尤其是揭示内心分裂。他对人类肉体与精神痛苦的震撼人心的描写是其他作家难以企及的。他的小说戏剧性强，情节发展快，接踵而至的灾难性事件往往伴随着复杂激烈的心理斗争和痛苦的精神危机，以此揭露资产阶级关系的纷繁复杂。矛盾重重和深刻的悲剧性。陀思妥耶夫斯基的善恶矛盾性格组合、深层心理活动描写都对后世作家产生深刻影响。,491205字,5.99元
胰脏物语,https://pic.arkread.com/cover/ebook/f/425693863.1682561075.jpg!cover_default.jpg,https://read.douban.com/ebook/425693863/,"[日] 住野夜, 译者: 丁世佳",☆《我想吃掉你的胰脏》原作小说经典纪念版，纯爱天花板惊喜回归！  ☆这才是所有人心中的王道青春！不可超越的经典之作！  ☆全日本书店的店员都想把这本书推荐给读者！  ☆比“今晚月色真美”更大胆极致的告白，是“我想吃掉你的胰脏”！  “用普通的句子来表达我和你的关系，实在是太可惜了！”“我果然还是，想吃掉你的胰脏！”  没有名字的少年×没有未来的少女  一本秘密日记开启的结缘之旅  一场已知结局的限时恋爱  一直与人保持距离、活在自己世界里的我，偶然在医院里捡到一本书，封面写着“共病文库”四个大字。原来这是同班同学山内樱良的秘密日记本，里面记述着她因为身患胰脏病，生命所剩无几。因为这样的契机，“没有名字的我”成了“没有未来的她”的秘密共有者。  与我完全相反，懦弱的我一直只会把自己封闭起来，而她却能坦然说出我无法说的话，做我无法做到的事。她教会了我生存的意义的那个时候，我的心，被她填满了。  “我其实，想成为你。”  成为能认可别人的人，成为能被别人认可的人，成为能爱别人的人，成为能被别人爱的人。  “我要怎样才能成为你呢？”  “我想吃掉你的胰脏。”    住野夜，日本作家，出生于大阪，从高中时代就开始执笔撰写小说。本作品为作者di一部正式出版的小说，原书名为《我想吃掉你的胰脏》，该书一出版就在日本引起轰动，目前已销售42万册。该书在206年日本上半期SUTAYA图书排名（综合类）中列di位，并荣获日本当年的书店大奖。在206年日本上半期销售排名（文艺类）中列di2位。由该书改编的同名电影将于207年7月在日本震撼上映，主演为日本人气演员北川景子、小栗旬。,97452字,24.0元
过期糖,https://pic.arkread.com/cover/ebook/f/476168237.1722492644.jpg!cover_default.jpg,https://read.douban.com/ebook/476168237/,王六鹅,陈勉觉得自己很像站在赤道的人，被地球的两级同时拉扯牵引。  一方在告诉他，远离成欣然，重圆只是破镜的幻觉，一切重逢终将会重蹈覆辙。  可另一方又告诉他，接受成欣然，因为所有人都理应向往自己爱的人事物。    王六鹅，射手座。毕业于北京电影学院戏剧影视文学专业，思维发散的文艺工作者，梦想是拍非常有趣的电影和写非常有趣的故事。第一本小说《过期糖》因真挚的情感和生活化的描写在网站上收获许多读者的喜爱。,139881字,16.0元
爱玛,https://pic.arkread.com/cover/ebook/f/346956577.1653665491.jpg!cover_default.jpg,https://read.douban.com/ebook/346956577/,"[英] 简·奥斯汀, 译者: 李文俊, 译者: 蔡慧",《爱玛》中爱玛出生在海伯村一个乡绅家庭中，母亲早故，她在家庭女教师泰勒小姐的教育下长大，后泰勒小姐和威斯顿先生结婚，离开了爱到家。爱玛和本村寄宿学校中一位无家可归的少女哈里特成为朋友，她把自己视作哈里特的保护人，决心为她找一个合适的丈夫。青年农民丁倾心于哈里特，但哈里特受爱玛的等级门第观念影响拒绝了他。爱玛一心想促成哈里特和牧师爱尔顿的结合，最终却发现爱尔顿爱慕的是自己，而失望的爱尔顿也只好另娶了……  本书配有英国插画家休·汤姆森的几十幅经典插画。译本经细细打磨，贴合原著，流畅、雅致、易读。    简·奥斯丁，英国女作家，第一位现实地描绘日常琐事中平凡人物的小说家，一生仅写有六部长篇小说，却在英国小说史上占有显要地位。  李文俊，著名翻译家，毕业于复旦大学新闻系。20世纪50年代开始发表作品，1979年加入中国作家协会，1994年获中美文学交流奖。译有福克纳的四部重要作品：《喧哗与骚动》《押沙龙，押沙龙！》《我弥留之际》《去吧，摩西》，编译《福克纳评论集》，著有《福克纳传》《纵浪大化集》等，并参与撰写《美国文学简史》。  蔡慧，本名蔡武进，另有笔名舒心，祖籍青浦朱家角。上海作家协会会员、上海文史研究馆馆员，获中国翻译协会“资深翻译家”称号。代表译作有《孟沙的考验》（杜波依斯）、《裸者与死者》（梅勒）、《岛在湾流中》（海明威）、《圣母山的宝藏》（特拉文）、《戴恩家的祸祟》（哈米特）、《爱情故事》《奥利弗的故事》（西格尔）、《牛虻》（伏尼契）、《海明威短篇小说全集（下）》等。,334263字,32.0元
西线无战事,https://pic.arkread.com/cover/ebook/f/168454169.1653695585.jpg!cover_default.jpg,https://read.douban.com/ebook/168454169/,"[德] 埃里希·玛丽亚·雷马克, 译者: 姜乙",青年保罗·博伊默尔、钳工加登、始终随身带着课本的米勒、头脑最清醒的下士克罗普、挖煤工海尔·维斯胡斯、农民德特林，以及斯坦尼斯劳斯·卡钦斯基们，经过十周的军事训练后，被送往前线。1918年，这个班的最后一人也于前线阵亡。而军队指挥部战报上的记录仅有一句：西线无战事。    埃里希·玛丽亚·雷马克（Erich Maria Remarque，1898.6—1970.9），德裔作家。出生于德国一个工人家庭，18岁时参加第一次世界大战，1929年出版小说《西线无战事》，引起轰动，1970年9月在瑞士逝世。  代表作品：  《西线无战事》（Im Westen nichts Neues）  《应许之地》（Das gelobte Land）  《爱与死的年代》（Zeit zu leben und Zeit zu sterben）  《黑色方尖碑》（Der schwarze Obelisk）  《里斯本之夜》（Die Nacht von Lissabon）  译者：姜乙，女，先后就读于中国音乐学院和德国奥斯纳布吕克大学。现居北京。,108876字,24.0元
我们在此相遇,https://pic.arkread.com/cover/ebook/f/129719404.1653698620.jpg!cover_default.jpg,https://read.douban.com/ebook/129719404/,"[英] 约翰·伯格, 译者: 吴莉君",1.约翰·伯格最深情的告白之书。本书是当代最有影响力的作家、艺术评论家、公共知识分子约翰·伯格的自传式小说，一部记忆之书、死亡之书、爱之书、成长之书，一部深沉无悔的告解。这本书引领我们在生者与死者的相遇中穿越欧洲，从里斯本，到日内瓦，到克拉科夫、伊斯灵顿、马德里、波兰……  2.和卡尔维诺《看不见的城市》一样美丽的地志学书写。约翰·伯格以精彩绝伦的想象力，赋予现代城市以个人化印记和魔幻气息，最私密的写作和最彻底的虚构，却仿佛写出了每个人心中最真实的情感。  当代最有影响力的作家、艺评家、公共知识分子约翰·伯格的自传性小说；一部记忆之书、死亡之书、爱之书、成长之书，一部深沉无悔的告解。  这不是一本传统的小说、回忆录、散文或传记，而是一种混杂了这些文体的崭新文类，即NewStatesman所谓的“未来的文类”：“是虚构，但非传统小说；是作者的第一人称，但非回忆录；是在时间与空间中自由穿梭的描述，但又始终是立足于当下；是一篇无悔的告解，也是对感知与情感的深刻挖掘。”    约翰·伯格，英国艺术评论家、小说家、画家和诗人，1926年出生于英国伦敦。1944至1946年在英国军队服役。退役后入切尔西艺术学院和伦敦中央艺术学院学习。1940年代后期，伯格以画家身份开始其个人生涯，于伦敦多个画廊举办展览。1948年至1955年，他以教授绘画为业，并为伦敦著名杂志《新政治家》撰稿，迅速成为英国颇具争议性的艺术批评家。  1972年，他的电视系列片《观看之道》在BBC播出，同时出版配套的图文册，遂成艺术批评的经典之作。小说《G》为他赢得了布克奖及詹姆斯·泰特·布莱克纪念奖。2008年，伯格凭借小说From A to X再次获得布克奖提名。,124689字,23.0元
香水,https://pic.arkread.com/cover/ebook/f/132145862.1653698184.jpg!cover_default.jpg,https://read.douban.com/ebook/132145862/,"[德] 帕特里克·聚斯金德（Patrick Suskind）, 译者: 李清华",十八世纪的巴黎，格雷诺耶降生在城市最肮脏、气味最浓烈的鱼摊上。他天生没有体味，却是一个惊人的嗅觉天才，能够分辨并记住世界上所有的气味。为了追寻最完美的香味，并将之保存下来，少年格雷诺耶受尽磨砺，一步步从香水铺学徒成长为制香大师。在经历了无数次尝试和失望后，他终于发现，唯有某些红发少女身上才散发着他追寻的完美香气。为此，他不惜屡屡犯下罪行，萃取她们的体香制成一种神秘的“香水”，将世人玩弄于股掌之中。然而，众人无尽的追捧和痴迷并不能给他带来满足，最终，他选择以自己独特的方式，消失在了气味的短暂的王国……  小说天马行空的想象，离奇魔幻的情节，以及对于气味出神入化的捕捉与描摹，都被反复称道和引用。作者借主人公格雷诺耶这个嗅觉天才的悲剧人生，反思了个体在理性驱动的现代社会中陷入虚无与异化的生存困境。    帕特里克·聚斯金德（Patrick Süskind），德国当代知名作家。他的处女作《低音提琴》于1981年9月在慕尼黑首演，至今仍常演不衰。1984年，聚斯金德完成了他的第一部长篇小说《香水》，出版后轰动了德语文坛，后被译成多种语言。他还著有中篇小说《鸽子》，《夏先生的故事》及其他一些非虚构作品，在当代德语文学界具有显著的影响力。,144812字,12.99元
猫派,https://pic.arkread.com/cover/ebook/f/399970750.1656643345.jpg!cover_default.jpg,https://read.douban.com/ebook/399970750/,"[美] 克里斯汀·鲁佩南, 译者: 李杨",◆十二则刊载于《纽约客》杂志的“现象级”短篇小说  ◆网络上超三百万人次转发，HBO即将改编影视  ◆人的情感，真的存在某种正确的形式吗？  当疯狂融于日常，幻想成为现实，倒错的欲望倾泻而出，编织出属于千禧世代的人生万花筒  十二篇故事，游走于人性与道德的钢丝之上。  年轻男子到偏远地区支教，却不慎被当地的某种奇异习俗“感染”。  一对夫妻接纳了失恋好友，三人以诡异的方式组成了一个新的“家庭”。  一个叫“沙丁鱼”的游戏在孩童之间流行，让家长忧心不已。  美丽的公主爱上了非人之物。  自称是“猫派”的男人，家里却不见猫的影子。  ……  十二个短篇以既新颖又暗黑的方式探讨了性别、人性和权利的话题，仿佛鬼故事般令人不寒而栗。    克里斯汀·鲁佩南|Kristen Roupenian  生于波士顿，毕业于巴纳德大学，同时拥有哈佛大学英语文学与心理学的博士学位。她是《纽约客》杂志的常驻供稿人，发表过数篇文学评论，荣获过多个奖项。  《猫派》中收录了克里斯汀·鲁佩南的十二部短篇小说，其中同名小说《猫派》在《纽约客》上发表后，迅速成了全美最热门的讨论话题。短篇集中收录的故事引人入胜，仿佛鬼魅般令人不寒而栗。克里斯汀在书中以新颖又黑暗的方式探讨了性别、人性、和权力的话题。,126427字,48.99元
蝌蚪,https://pic.arkread.com/cover/ebook/f/18553248.1653708815.jpg!cover_default.jpg,https://read.douban.com/ebook/18553248/,弋舟,70后实力作家见证文学尊严的力作，菜刀与诗歌，野蛮与文明，惩罚与救赎，含纳了成长岁月几乎所有的焦灼与孤独。人人都各怀心事。世界缤纷得让人怀疑。用菜刀统领一切、跟这个世界对话的父亲，出走的母亲，父亲赴死的情人，美丽而自私的混血女人，忧郁高贵、谜一般的恋人，温良善解的同性爱男子……既有父子间的对峙与妥协，又有堪称母子不伦之恋的纠结与幽暗，既有异性爱者的缠绵，又有同性爱者微妙温存的细腻忧伤。  《蝌蚪》投奔向小说本身的神秘归途。它捕捉着生活背面幽暗的影，它所透露的那种超越存在的荒诞诗意让人心里绵延着无法言喻的感动。这是一个让人惊喜的发现——《蝌蚪》因为努力游离出去，反而导致了汹涌的前来。  弋舟：生于上世纪七十年代。有大量长中短篇小说见于重要文学刊物；作品入选中国小说学会年度排行榜，当代中国文学最新作品排行榜，中国报告文学优秀作品排行榜。获郁达夫小说奖，《小说选刊》年度大奖，《小说月报》百花奖，《青年文学》奖，《十月》文学奖，《西部》文学奖，鲁彦周文学奖，第二、三、四、五届黄河文学奖一等奖，第六、七届敦煌文艺奖等多种奖项；著有长篇小说《跛足之年》《蝌蚪》《战事》《春秋误》《我们的踟蹰》，长篇非虚构作品《我在这世上太孤独》，随笔集《从清晨到日暮》，小说集《我们的底牌》《所有的故事》《弋舟的小说》《刘晓东》《怀雨人》《平行》等。,124487字,8.0元
宫墙柳,https://pic.arkread.com/cover/ebook/f/381199302.1653662038.jpg!cover_default.jpg,https://read.douban.com/ebook/381199302/,梦娃,十四岁那年五月，槐花正香的时节，我撑着脑袋坐在永安宫里打瞌睡，那个男人笑声里带着说不出温柔，他说：“就这么困吗？”那一年我也才十四岁，青春少好的年纪，第一次遇见这样一个人，替我挽发描眉，为我吟诗唱曲，一口一句娇娇儿。我真的一点点心动都没有吗？  皇上日日与我写“郎骑竹马来，绕床弄青梅。同居长干里，两小无嫌猜。”可与他青梅竹马两小无猜的又不是我，他那首诗怎么可能是写给我的呢？  幸运的是我只动心了三天，就心焰燃尽成灰，从此在这宫里，没心没肺开开心心地过日子。不过是一句“江山情重美人轻”罢了。    梦娃，2019年知乎爆红的新生代作家，处女作《宫墙柳》文笔简单情感真挚，以反套路的宫斗文迅速吸引读者关注和传播，收获知乎33万高赞，豆瓣7.6高分，喜马拉雅300万播放量的好成绩。梦娃：“我讲的故事有人看，就很幸福了。”,165427字,45.0元
鲁迅全集（第一卷）,https://pic.arkread.com/cover/ebook/f/49243453.1653703170.jpg!cover_default.jpg,https://read.douban.com/ebook/49243453/,鲁迅,新版《鲁迅全集》由原来的16卷增至18卷，书信、日记各增加了一卷，共计创作10卷，书信4卷，日记3卷，索引1卷，总字数约700万字。与1981年版相比，此次《鲁迅全集》修订集中在三个方面：佚文佚信的增收；原著的文本校勘；注释的增补修改。  此为《鲁迅全集》第一卷，包括《坟》、《热风》、《呐喊》等名篇。    鲁迅（1881～1936），中国文学家、思想家和革命家。原名周树人，字豫才，浙江绍兴人。出身于破落封建家庭。1902年去日本留学，原在仙台医学院学医，后从事文艺工作，企图用以改变国民精神。1905—1907年，参加革命党人的活动，发表了《摩罗诗力说》、《文化偏至论》等论文。期间曾回国奉母命结婚，夫人朱安。1909年，与其弟周作人一起合译《域外小说集》，介绍外国文学。同年回国，先后在杭州、绍兴任教。辛亥革命后，曾任南京临时政府和北京政府教育部部员、佥事等职，兼在北京大学、女子师范大学等校授课。1918年5月，首次用“鲁迅”的笔名，发表中国现代文学史上第一篇白话小说《狂人日记》，奠定了新文学运动的基石。五四运动前后，参加《新青年》杂志工作，成为“五四”新文化运动的主将。1918年到1926年间，陆续创作出版了小说集《呐喊》、《彷徨》、论文集《坟》、散文诗集《野草》、散文集《朝花夕拾》、杂文集《热风》、《华盖集》、《华盖集续编》等。,319158字,28.0元
水浒传（上）,https://pic.arkread.com/cover/ebook/f/164667879.1653695814.jpg!cover_default.jpg,https://read.douban.com/ebook/164667879/,"施耐庵, 罗贯中",《水浒传》是我国第一部以农民起义为题材的长篇章回小说，是我国文学史上一座巍然屹立的丰碑，也是世界文学宝库中一颗光彩夺目的明珠。数百年来，它一直深受我国人民的喜爱，并被译为多种文字，成为我国流传最为广泛的古代长篇小说之一。  《水浒传》具体而生动地描写了以宋江为首的农民起义发生、发展直至失财的整个过程，揭露了封建社会的黑暗、腐朽和统治阶级的种种罪恶，热情歌颂了起义英雄的反抗精神和正义行动，塑造了一大批梁山好汉的光辉形象，形象地揭示了封建社会“官逼民反”的客观真理和农民起义失败的内在原因。    施耐庵（1296—1370）  原籍苏州，生于兴化，生活于元明之际。至正十六年（1356），张士诚占据苏州期间，曾下礼征聘他，他不应。后来朱元璋也曾礼请，又不应。他先后寓江阴、兴化等地，最后卒于淮安，终年74岁。与罗贯中合著四大名著之一的《水浒传》。  罗贯中（约1330年—约1400年）  名本，字贯中，号湖海散人，山西并州太原府人，元末明初小说家，著有《三国志通俗演义》、《隋唐两朝志传》、《残唐五代史演义》、《三遂平妖传》、《水浒传》（与施耐庵合著）等章回小说，另有杂剧《赵太祖龙虎风云会》。,436487字,15.0元
警世通言,https://pic.arkread.com/cover/ebook/f/107934507.1653700803.jpg!cover_default.jpg,https://read.douban.com/ebook/107934507/,（明）冯梦龙,本书为明末冯梦龙编的一本话本、拟话本小说集，与他编的另外两部小说集《喻世明言》《醒世恒言》合称为“三言”。《警世通言》收录宋、元、明三代的话本、拟话本小说四十篇。所有作品均经过冯梦龙不同程度的加工，有的甚至是重新改写。其中有的可以确指为冯梦龙的个人作品，如《老门生三世报恩》等。这四十篇小说，大都是“警世劝俗”之作，其中有近一半是反映婚恋和由婚恋引起的家庭变故。另外，《警世通言》中还有一些表现传统题材如友情、侠义、悲欢离合、聪明才智、逸闻趣事等的作品，或内容感人，或情节曲折，或风趣幽默，大都能给人以教益和启迪。    冯梦龙（1574-1646），字犹龙、子犹，号墨憨斋主人，明长洲（今江苏苏州）人。冯梦龙用毕生的精力搜集、整理和创作民间文学，在通俗文学方面的成就和贡献巨大。他编订了《挂枝儿》《山歌》等被誉为“明代一绝”的民歌集，增补改编了长篇小说《平妖传》《新列国志》。其成就最高、影响最大的当属“三言”。,375931字,6.6元
作家榜名著：双城记,https://pic.arkread.com/cover/ebook/f/124941042.1653692898.jpg!cover_default.jpg,https://read.douban.com/ebook/124941042/,"[英] 查尔斯·狄更斯, 译者: 马鸣谦",青年医生曼内特，做梦也没有想到，那天深夜，他会亲眼目睹一桩权贵杀人事件。他决心为受害者伸张正义，结果等待他的，却是猝不及防的牢狱之灾。  曼内特凭空消失，他的妻子被痛苦击倒，去世前托付好友抚养女儿露西。十八年后，长大成人的露西，突然得到了父亲的消息，她从英国伦敦赶往法国巴黎，终于见到了曼内特。  返回伦敦的途中，曼内特父女邂逅了年轻人达尼，并受到他的细心照顾。达尼和露西一路相伴，情愫渐生。然而，达尼恰好是当年陷害曼内特的权贵之子。  真正的考验，才刚刚开始……    查尔斯·狄更斯（Charles John Huffam Dickens，1812—1870），征服世界的文学大师，极受欢迎的英国文豪。全名查尔斯·约翰·赫法姆·狄更斯，出生于英国南部朴次茅斯，其父是海军职员。童年时家道中落，一度被迫辍学，但天赋出众，聪明好学。  10岁前，读尽父亲藏在阁楼里的全部古典小说。12岁时，为补贴家用，去皮鞋作坊当童工，在磨难中成长。此后当过律师事务所文书、审案速记员、报社记者，业余时间尝试文学创作。  21岁时，心惊胆战将没有署名的处女作投稿给杂志，发表后激动落泪，受到巨大鼓舞。24岁时，长篇处女作《匹克威克外传》出版，一纸风行；同年结婚、剧作上演。  狄更斯总共创作了14部长篇小说、数百篇短篇小说和散文；生了10个孩子；作了400多场盈利性的朗诵会。,257449字,9.99元
日本民间故事（浮世绘全译版）,https://pic.arkread.com/cover/ebook/f/383201271.1653661914.jpg!cover_default.jpg,https://read.douban.com/ebook/383201271/,"[日] 田中贡太郎, 译者: 潘郁灵 等",日本动漫的灵魂之核，影响后世诸多名作！  田中贡太郎历时20年走访全日本所记录下的民间灵异传闻。  日本动漫的灵魂之核，影响后世的百大妖怪悉数登场：般若、雪女、酒吞童子、河童、大天狗、姑获鸟、二口女、座敷童子、青行灯、猫又……  该书首版至今，被誉为日本影响巨大的鬼怪事件亲历式小说，更是诸多网络上日本都市传说的源头！    作者：  田中贡太郎，一生致力于各种怪谈故事的收集、整理与创作，其作品产量之高、代表性之强、内容范围之广，皆是之后任何怪谈作家都未能达到的程度，也因此被誉为“日本怪谈小说大师”，在日本有着极大的号召力与影响力，影响了诸如芥川龙之介、梦枕貘，宫崎骏等大师！  译者：  潘郁灵等“悉桑派”译者团队，成立于2016年，由国内多位知名日语翻译家倡议发起。该团队专注于研究式翻译，团队成员均为国内文学翻译界资深人士，从事日本文学研究平均达十年。曾主持译介夏目漱石、川端康成、堀辰雄、中岛敦、梶井基次郎和三岛由纪夫等多位日本作家的经典作品，备受好评。,120770字,29.99元
